CustomerKey,Region,Model,IncomeGroup,FreqBuy
11262,North America,Patch kit,High,9
11185,North America,Sport-100,High,9
11262,North America,Road Tire Tube,High,7
11185,North America,Road Tire Tube,High,7
11277,North America,Road Tire Tube,High,6
11276,North America,Patch kit,High,6
11185,North America,Patch kit,High,6
11566,Europe,Touring Tire Tube,Moderate,6
11300,North America,Water Bottle,High,5
11091,North America,Patch kit,High,5
11287,North America,Road Tire Tube,High,5
11330,North America,Road Tire Tube,High,5
11223,North America,Sport-100,High,5
11276,North America,Sport-100,High,5
11142,North America,Sport-100,Moderate,5
11501,North America,Sport-100,Moderate,5
11091,North America,Road Tire Tube,High,5
11711,North America,Road Tire Tube,High,5
11262,North America,Bike Wash,High,5
11276,North America,Bike Wash,High,4
11566,Europe,Cycling Cap,Moderate,4
11276,North America,HL Road Tire,High,4
11223,North America,LL Mountain Tire,High,4
11300,North America,Mountain Bottle Cage,High,4
11300,North America,Mountain Tire Tube,High,4
11276,North America,Mountain Tire Tube,High,4
11176,North America,Road Tire Tube,High,4
11142,North America,Road Tire Tube,Moderate,4
11502,North America,Sport-100,Moderate,4
11566,Europe,Sport-100,Moderate,4
11632,North America,Sport-100,Moderate,4
11277,North America,Sport-100,High,4
11262,North America,Sport-100,High,4
11330,North America,Sport-100,High,4
11176,North America,Sport-100,High,4
11200,North America,Sport-100,High,4
11091,North America,Sport-100,High,4
11211,North America,Sport-100,Moderate,4
11300,North America,Road Tire Tube,High,4
11276,North America,Road Tire Tube,High,4
11566,Europe,Road Tire Tube,Moderate,4
11619,North America,Road Tire Tube,Moderate,4
11019,North America,Patch kit,Moderate,4
11176,North America,Patch kit,High,4
11203,North America,Patch kit,Moderate,4
11223,North America,Patch kit,High,4
11300,North America,Patch kit,High,4
11331,North America,Patch kit,High,4
11300,North America,Touring Tire Tube,High,4
11276,North America,Touring Tire Tube,High,3
11223,North America,Water Bottle,High,3
12056,North America,Sport-100,High,3
12158,North America,Sport-100,High,3
11566,Europe,Touring Tire,Moderate,3
11287,North America,Patch kit,High,3
11507,North America,Patch kit,Moderate,3
11498,North America,Patch kit,Moderate,3
11619,North America,Patch kit,Moderate,3
11277,North America,Patch kit,High,3
11211,North America,Patch kit,Moderate,3
11330,North America,Patch kit,High,3
11502,North America,Road Tire Tube,Moderate,3
11505,North America,Road Tire Tube,Moderate,3
11506,North America,Road Tire Tube,Moderate,3
11331,North America,Road Tire Tube,High,3
11212,North America,Sport-100,Moderate,3
11253,North America,Sport-100,Moderate,3
11287,North America,Sport-100,High,3
11300,North America,Sport-100,High,3
11420,Europe,Sport-100,High,3
11185,North America,Short-Sleeve Classic Jersey,High,3
11498,North America,Road Tire Tube,Moderate,3
11500,North America,Road Tire Tube,Moderate,3
11506,North America,Sport-100,Moderate,3
11519,North America,Sport-100,Moderate,3
11498,North America,Sport-100,Moderate,3
11709,North America,Sport-100,Moderate,3
11711,North America,Sport-100,High,3
11223,North America,Road Tire Tube,High,3
11330,North America,Mountain Tire Tube,High,3
11211,North America,Mountain Tire Tube,Moderate,3
11709,North America,Mountain Tire Tube,Moderate,3
11711,North America,Mountain Tire Tube,High,3
11502,North America,Long-Sleeve Logo Jersey,Moderate,3
11505,North America,Long-Sleeve Logo Jersey,Moderate,3
11262,North America,LL Mountain Tire,High,3
11277,North America,LL Mountain Tire,High,3
11300,North America,LL Mountain Tire,High,3
11330,North America,LL Mountain Tire,High,3
11277,North America,HL Road Tire,High,3
11185,North America,HL Road Tire,High,3
11200,North America,HL Road Tire,High,3
11091,North America,LL Mountain Tire,High,3
11091,North America,HL Road Tire,High,3
11330,North America,Half-Finger Gloves,High,3
11223,North America,Half-Finger Gloves,High,3
11711,North America,LL Mountain Tire,High,3
11566,Europe,LL Road Tire,Moderate,3
11711,North America,Cycling Cap,High,3
11118,Pacific,Bike Wash,High,3
11711,North America,HL Road Tire,High,3
11300,North America,Hydration Pack,High,3
15942,North America,Fender Set - Mountain,High,2
18884,North America,Fender Set - Mountain,Moderate,2
18283,Pacific,Cycling Cap,High,2
17422,North America,Cycling Cap,High,2
18173,Europe,Cycling Cap,High,2
17114,Europe,Cycling Cap,Moderate,2
18134,Europe,Cycling Cap,High,2
11176,North America,Half-Finger Gloves,High,2
17539,North America,Half-Finger Gloves,High,2
11467,Pacific,Bike Wash,High,2
11185,North America,Bike Wash,High,2
11763,Pacific,Bike Wash,High,2
13005,Pacific,All-Purpose Bike Stand,High,2
15872,North America,Classic Vest,Moderate,2
13201,North America,Bike Wash,High,2
12074,North America,Cycling Cap,High,2
11652,North America,Cycling Cap,Moderate,2
11500,North America,Cycling Cap,Moderate,2
12128,Europe,Cycling Cap,High,2
17218,Europe,Cycling Cap,High,2
15678,Europe,Cycling Cap,Moderate,2
13762,North America,Cycling Cap,Moderate,2
11502,North America,Cycling Cap,Moderate,2
11502,North America,Bike Wash,Moderate,2
11505,North America,Bike Wash,Moderate,2
11241,Europe,Cycling Cap,High,2
11277,North America,Cycling Cap,High,2
11619,North America,Bike Wash,Moderate,2
11185,North America,Classic Vest,High,2
11039,Pacific,Cycling Cap,Low,2
11711,North America,Classic Vest,High,2
12140,North America,Cycling Cap,High,2
12610,Europe,Cycling Cap,Low,2
19340,Europe,Cycling Cap,Moderate,2
11019,North America,Half-Finger Gloves,Moderate,2
11142,North America,Half-Finger Gloves,Moderate,2
11212,North America,Half-Finger Gloves,Moderate,2
11501,North America,Half-Finger Gloves,Moderate,2
11502,North America,Half-Finger Gloves,Moderate,2
12352,Pacific,Half-Finger Gloves,High,2
12357,Pacific,Half-Finger Gloves,High,2
11869,North America,Half-Finger Gloves,High,2
17072,Pacific,Half-Finger Gloves,Moderate,2
11987,Pacific,Half-Finger Gloves,High,2
11277,North America,Half-Finger Gloves,High,2
11520,North America,Cycling Cap,Moderate,2
11300,North America,Half-Finger Gloves,High,2
12008,Pacific,Half-Finger Gloves,High,2
11330,North America,HL Road Tire,High,2
13112,Pacific,Half-Finger Gloves,Moderate,2
16646,North America,Long-Sleeve Logo Jersey,High,2
11331,North America,LL Mountain Tire,High,2
11262,North America,LL Road Tire,High,2
11185,North America,LL Road Tire,High,2
11276,North America,LL Mountain Tire,High,2
11262,North America,HL Road Tire,High,2
11287,North America,Hydration Pack,High,2
11176,North America,LL Mountain Tire,High,2
11185,North America,LL Mountain Tire,High,2
11200,North America,LL Mountain Tire,High,2
11300,North America,LL Road Tire,High,2
11277,North America,LL Road Tire,High,2
11176,North America,Long-Sleeve Logo Jersey,High,2
11200,North America,Long-Sleeve Logo Jersey,High,2
11330,North America,Long-Sleeve Logo Jersey,High,2
12088,North America,Long-Sleeve Logo Jersey,High,2
11619,North America,Long-Sleeve Logo Jersey,Moderate,2
13175,North America,Long-Sleeve Logo Jersey,High,2
13474,North America,Long-Sleeve Logo Jersey,Moderate,2
14069,Pacific,Long-Sleeve Logo Jersey,High,2
13096,North America,Mountain Bottle Cage,Moderate,2
11519,North America,ML Road Tire,Moderate,2
11091,North America,ML Road Tire,High,2
11142,North America,ML Road Tire,Moderate,2
11223,North America,Long-Sleeve Logo Jersey,High,2
11185,North America,ML Road Tire,High,2
11200,North America,ML Road Tire,High,2
11203,North America,ML Road Tire,Moderate,2
11211,North America,ML Road Tire,Moderate,2
11212,North America,ML Road Tire,Moderate,2
11223,North America,ML Road Tire,High,2
11507,North America,Long-Sleeve Logo Jersey,Moderate,2
13936,North America,Long-Sleeve Logo Jersey,High,2
11501,North America,ML Road Tire,Moderate,2
17338,North America,Mountain Bottle Cage,Moderate,2
11091,North America,Mountain Tire Tube,High,2
11148,Pacific,Mountain Tire Tube,Moderate,2
11185,North America,Mountain Tire Tube,High,2
16247,North America,Mountain Bottle Cage,Moderate,2
11642,North America,Mountain Tire Tube,Moderate,2
11142,North America,Mountain Tire Tube,Moderate,2
11200,North America,Mountain Tire Tube,High,2
11223,North America,Mountain Tire Tube,High,2
11277,North America,Mountain Tire Tube,High,2
11498,North America,Mountain Tire Tube,Moderate,2
11519,North America,Mountain Tire Tube,Moderate,2
11631,North America,Mountain Tire Tube,Moderate,2
11769,North America,Mountain Tire Tube,Moderate,2
11784,North America,Mountain Tire Tube,Moderate,2
11841,North America,Mountain Tire Tube,Moderate,2
11951,Pacific,Mountain Tire Tube,Moderate,2
11875,North America,Mountain Tire Tube,Moderate,2
12034,Pacific,Mountain Tire Tube,Moderate,2
14680,Pacific,Long-Sleeve Logo Jersey,High,2
14566,North America,Mountain Bottle Cage,Moderate,2
15197,North America,Mountain Bottle Cage,Moderate,2
17374,North America,Mountain Bottle Cage,Moderate,2
11200,North America,Road Tire Tube,High,2
11203,North America,Road Tire Tube,Moderate,2
11212,North America,Road Tire Tube,Moderate,2
11429,Europe,Road Bottle Cage,High,2
11431,Europe,Road Bottle Cage,High,2
12606,Europe,Road Tire Tube,Moderate,2
14086,Pacific,Road Tire Tube,Low,2
16733,Pacific,Road Tire Tube,Moderate,2
21055,Europe,Racing Socks,Moderate,2
14086,Pacific,Patch kit,Low,2
14684,Pacific,Patch kit,Moderate,2
16030,Pacific,Patch kit,Low,2
16179,Pacific,Patch kit,High,2
14904,North America,Patch kit,Moderate,2
13105,Pacific,Patch kit,Moderate,2
13125,Pacific,Patch kit,High,2
16606,Pacific,Patch kit,High,2
16618,Pacific,Patch kit,High,2
16667,North America,Patch kit,Low,2
16614,Pacific,Patch kit,High,2
11417,Europe,Road Bottle Cage,High,2
12330,Europe,Road Bottle Cage,High,2
11786,North America,Sport-100,Moderate,2
11787,North America,Sport-100,Moderate,2
11729,North America,Sport-100,Moderate,2
12166,North America,Sport-100,High,2
12430,North America,Sport-100,Moderate,2
11505,North America,Sport-100,Moderate,2
11425,Europe,Sport-100,High,2
11429,Europe,Sport-100,High,2
11530,North America,Sport-100,Moderate,2
11432,Europe,Sport-100,High,2
11642,North America,Sport-100,Moderate,2
11845,North America,Sport-100,Low,2
11501,North America,Road Tire Tube,Moderate,2
16175,Pacific,Road Tire Tube,Moderate,2
16689,Pacific,Road Tire Tube,Moderate,2
11019,North America,Sport-100,Moderate,2
11114,Pacific,Sport-100,High,2
11502,North America,Short-Sleeve Classic Jersey,Moderate,2
11417,Europe,Sport-100,High,2
11215,North America,Sport-100,Moderate,2
11331,North America,Sport-100,High,2
11235,North America,Sport-100,High,2
11236,North America,Sport-100,High,2
11201,North America,Sport-100,High,2
16709,Pacific,Short-Sleeve Classic Jersey,Low,2
11519,North America,Road Tire Tube,Moderate,2
11632,North America,Road Tire Tube,Moderate,2
16184,Pacific,Road Tire Tube,Moderate,2
16492,Pacific,Road Tire Tube,Moderate,2
11276,North America,Short-Sleeve Classic Jersey,High,2
11287,North America,Short-Sleeve Classic Jersey,High,2
11300,North America,Short-Sleeve Classic Jersey,High,2
11713,North America,Short-Sleeve Classic Jersey,High,2
13047,Pacific,Short-Sleeve Classic Jersey,Moderate,2
19454,Europe,Short-Sleeve Classic Jersey,Moderate,2
19224,North America,Road Tire Tube,Low,2
11566,Europe,Patch kit,Moderate,2
11652,North America,Patch kit,Moderate,2
11769,North America,Patch kit,Moderate,2
11631,North America,Patch kit,Moderate,2
11659,North America,Patch kit,Moderate,2
11827,North America,Patch kit,Moderate,2
11841,North America,Patch kit,Moderate,2
11951,Pacific,Patch kit,Moderate,2
12034,Pacific,Patch kit,Moderate,2
12147,North America,Patch kit,High,2
11212,North America,Patch kit,Moderate,2
11500,North America,Long-Sleeve Logo Jersey,Moderate,2
11174,North America,Patch kit,High,2
11219,North America,Patch kit,Moderate,2
11232,North America,Patch kit,Moderate,2
11200,North America,Patch kit,High,2
11318,North America,Patch kit,Moderate,2
12715,Pacific,Patch kit,Moderate,2
12371,Pacific,Patch kit,Moderate,2
11757,Pacific,Patch kit,High,2
11758,Pacific,Patch kit,High,2
11802,North America,Patch kit,Moderate,2
12666,Pacific,Patch kit,Moderate,2
12690,Pacific,Patch kit,High,2
13008,Pacific,Patch kit,Moderate,2
13144,North America,Patch kit,Moderate,2
12892,North America,Mountain Tire Tube,Moderate,2
12972,North America,Mountain Tire Tube,High,2
12430,North America,Mountain Tire Tube,Moderate,2
11078,North America,Patch kit,Moderate,2
11137,North America,Patch kit,Moderate,2
11159,North America,Patch kit,Moderate,2
12444,North America,Mountain Tire Tube,Moderate,2
12928,North America,Mountain Tire Tube,Moderate,2
12992,Pacific,Mountain Tire Tube,Moderate,2
12074,North America,Mountain Tire Tube,High,2
12054,North America,Mountain Tire Tube,High,2
12056,North America,Mountain Tire Tube,High,2
11262,North America,Mountain Tire Tube,High,2
12147,North America,Mountain Tire Tube,High,2
12158,North America,Mountain Tire Tube,High,2
12203,North America,Mountain Tire Tube,High,2
12369,Pacific,Mountain Tire Tube,Moderate,2
12665,Pacific,Mountain Tire Tube,Moderate,2
19750,North America,Mountain Tire Tube,Moderate,2
13175,North America,Mountain Tire Tube,High,2
20756,North America,Patch kit,Low,2
16695,Pacific,Patch kit,High,2
14999,Europe,Patch kit,Low,2
11506,North America,Racing Socks,Moderate,2
11510,North America,Racing Socks,Low,2
21703,North America,Mountain Tire Tube,Low,2
11632,North America,Touring Tire Tube,Moderate,2
11711,North America,Touring Tire Tube,High,2
11429,Europe,Touring-1000,High,2
12136,North America,Sport-100,Low,2
12074,North America,Sport-100,High,2
12123,Europe,Sport-100,High,2
12740,Europe,Sport-100,Low,2
12314,Europe,Sport-100,High,2
12873,Europe,Sport-100,Low,2
13040,Pacific,Sport-100,Low,2
12310,Europe,Sport-100,High,2
13009,Pacific,Sport-100,Moderate,2
13112,Pacific,Sport-100,Moderate,2
13133,Pacific,Sport-100,High,2
13268,North America,Sport-100,Moderate,2
13406,Europe,Sport-100,High,2
13107,Pacific,Sport-100,Moderate,2
13095,North America,Sport-100,Moderate,2
13474,North America,Sport-100,Moderate,2
13491,North America,Sport-100,High,2
13604,Europe,Sport-100,High,2
13579,Europe,Sport-100,High,2
13580,Europe,Sport-100,High,2
13794,Europe,Sport-100,Low,2
13838,Europe,Sport-100,Low,2
14039,Pacific,Sport-100,High,2
13988,North America,Sport-100,Moderate,2
14220,Pacific,Sport-100,High,2
14261,Pacific,Sport-100,High,2
14632,North America,Sport-100,Moderate,2
14480,North America,Sport-100,High,2
14328,North America,Sport-100,Low,2
15059,Europe,Sport-100,Low,2
15106,Europe,Sport-100,High,2
15197,North America,Sport-100,Moderate,2
15146,Pacific,Sport-100,High,2
14313,Pacific,Sport-100,Moderate,2
15239,Pacific,Sport-100,High,2
15251,North America,Sport-100,Low,2
15490,North America,Sport-100,High,2
15536,North America,Sport-100,Moderate,2
15581,Pacific,Sport-100,Moderate,2
15598,Pacific,Sport-100,Moderate,2
15610,Europe,Sport-100,Low,2
15624,Europe,Sport-100,Moderate,2
15637,Europe,Sport-100,Moderate,2
15692,Europe,Sport-100,High,2
15920,Europe,Sport-100,High,2
15921,Europe,Sport-100,High,2
